timestamp,class,confidence,map_x,map_y,robot_x,robot_y,robot_yaw,is_new
2026-03-21T22:14:39.686050,orange,1.000,-4.899,-2.149,-3.626,-2.942,2.715,UPDATE
2026-03-21T22:14:39.686124,orange,0.992,-4.799,-2.008,-3.626,-2.942,2.715,UPDATE
2026-03-21T22:14:39.686151,orange,0.818,-4.960,-2.255,-3.626,-2.942,2.715,UPDATE
2026-03-21T22:14:40.394623,orange,1.000,-4.899,-2.148,-3.626,-2.942,2.715,UPDATE
2026-03-21T22:14:40.394717,orange,0.994,-4.797,-2.005,-3.626,-2.942,2.715,UPDATE
2026-03-21T22:14:40.394744,orange,0.809,-4.960,-2.256,-3.626,-2.942,2.715,UPDATE
2026-03-21T22:14:41.239966,orange,1.000,-4.898,-2.148,-3.626,-2.942,2.715,UPDATE
2026-03-21T22:14:41.240061,orange,0.993,-4.799,-2.007,-3.626,-2.942,2.715,UPDATE
2026-03-21T22:14:41.240082,orange,0.810,-4.959,-2.254,-3.626,-2.942,2.715,UPDATE
2026-03-21T22:14:42.654551,orange,1.000,-4.897,-2.146,-3.626,-2.942,2.716,UPDATE
2026-03-21T22:14:42.654705,orange,0.994,-4.802,-2.011,-3.626,-2.942,2.716,UPDATE
2026-03-21T22:14:42.655726,orange,0.827,-4.955,-2.247,-3.626,-2.942,2.716,UPDATE
2026-03-21T22:14:43.157726,orange,1.000,-4.898,-2.147,-3.626,-2.942,2.716,UPDATE
2026-03-21T22:14:43.157838,orange,0.994,-4.798,-2.007,-3.626,-2.942,2.716,UPDATE
2026-03-21T22:14:43.157859,orange,0.829,-4.959,-2.254,-3.626,-2.942,2.716,UPDATE
2026-03-21T22:14:43.439481,orange,1.000,-4.898,-2.148,-3.626,-2.942,2.716,UPDATE
2026-03-21T22:14:43.439519,orange,0.995,-4.799,-2.008,-3.626,-2.942,2.716,UPDATE
2026-03-21T22:14:43.439532,orange,0.825,-4.959,-2.254,-3.626,-2.942,2.716,UPDATE
2026-03-21T22:14:44.283806,orange,1.000,-4.897,-2.146,-3.626,-2.942,2.715,UPDATE
2026-03-21T22:14:44.284076,orange,0.994,-4.798,-2.007,-3.626,-2.942,2.715,UPDATE
2026-03-21T22:14:44.284097,orange,0.834,-4.958,-2.254,-3.626,-2.942,2.715,UPDATE
2026-03-21T22:14:45.257856,orange,1.000,-4.899,-2.149,-3.626,-2.942,2.715,UPDATE
2026-03-21T22:14:45.257958,orange,0.991,-4.800,-2.009,-3.626,-2.942,2.715,UPDATE
2026-03-21T22:14:45.257984,orange,0.808,-4.958,-2.253,-3.626,-2.942,2.715,UPDATE
2026-03-21T22:14:47.390406,orange,1.000,-4.898,-2.149,-3.626,-2.942,2.714,UPDATE
2026-03-21T22:14:47.390634,orange,0.993,-4.798,-2.007,-3.626,-2.942,2.714,UPDATE
2026-03-21T22:14:47.390670,orange,0.837,-4.955,-2.247,-3.626,-2.942,2.714,UPDATE
2026-03-21T22:14:48.711425,orange,1.000,-4.897,-2.147,-3.625,-2.942,2.714,UPDATE
